item_code,item_name_en,item_name_ar,active
SUPF-ONDA-89CC53B235,BROWNIE Zatar,BROWNIE Zatar,True
SUPF-ONDA-89FC81E952,Battery for machine air fresh,Battery for machine air fresh,True
SUPF-ONDA-8A4EF55B9C,Clorox,Clorox,True
SUPF-ONDA-8AE39A46B3,Cheese cream (for hot chocolate),Cheese cream (for hot chocolate),True
SUPF-ONDA-8CA7CD2DF2,Chocolate slice,Chocolate slice,True
SUPF-ONDA-9272E7334E,Steviana sugar,Steviana sugar,True
SUPF-ONDA-9348E260CA,Strawberry syrup,Strawberry syrup,True
SUPF-ONDA-96E1AB2A30,Mango sauce,Mango sauce,True
SUPF-ONDA-9A005F90E0,Condensed Milk,Condensed Milk,True
SUPF-ONDA-9AB9F720C0,Coffee Beans Costa Rica,Coffee Beans Costa Rica,True
SUPF-ONDA-9D6E29BF44,Milk low fat,Milk low fat,True
SUPF-ONDA-9EBA45246A,Dishwashing sponge,Dishwashing sponge,True
SUPF-ONDA-9F5C93F249,Mini eclair 9pc,Mini eclair 9pc,True
SUPF-ONDA-A0DABE5605,Dettol for table,Dettol for table,True
SUPF-ONDA-A32007B0D5,SPINACH SANDWICH,SPINACH SANDWICH,True
SUPF-ONDA-A3A7BC4858,Straw,Straw,True
SUPF-ONDA-A7097EDBFB,8 oz Cups,8 oz Cups,True
SUPF-ONDA-A847D41053,Coffee Beans Colombian,Coffee Beans Colombian,True
SUPF-ONDA-A938B4D024,MINT FRESH,MINT FRESH,True
SUPF-ONDA-AA9EBF931F,Data printing machine,Data printing machine,True
SUPF-ONDA-AE71A8ADF4,12 oz Lid (plastic),12 oz Lid (plastic),True
SUPF-ONDA-AEC345EE02,Fairy,Fairy,True
SUPF-ONDA-B004694CF7,Passion fruit Syrup,Passion fruit Syrup,True
SUPF-ONDA-B0A266B5C3,DOUBLE CHOCOLATE,DOUBLE CHOCOLATE,True
SUPF-ONDA-B61382DAE9,ECLAIR KINDER,ECLAIR KINDER,True
SUPF-ONDA-B7ECD7268D,ملاعق وشوك,ملاعق وشوك,True
SUPF-ONDA-BD345D4281,Blue Lagoon Syrup,Blue Lagoon Syrup,True
SUPF-ONDA-BECB520A1A,hopla,hopla,True
SUPF-ONDA-C0443235C8,CHEESE CAKE,CHEESE CAKE,True
SUPF-ONDA-C061A06769,BROWNIE,BROWNIE,True
SUPF-ONDA-C267646B2B,Napkin blue (espresso machine),Napkin blue (espresso machine),True
SUPF-ONDA-C36F2E173E,Sweet box (square),Sweet box (square),True
SUPF-ONDA-CA71240AE2,Lactose free milk,Lactose free milk,True
SUPF-ONDA-CBDE83D0E6,Hand sanitizer,Hand sanitizer,True
SUPF-ONDA-CBFBF59B5D,V 60 filter,V 60 filter,True
SUPF-ONDA-CCCC8A8906,Croissant bag,Croissant bag,True
SUPF-ONDA-D362A79697,Large broom,Large broom,True
